municipio;month_year;value
355030 SAO PAULO;Abr/2014;15895
355030 SAO PAULO;Abr/2015;13291
355030 SAO PAULO;Abr/2016;5106
355030 SAO PAULO;Abr/2017;103
355030 SAO PAULO;Abr/2018;105
355030 SAO PAULO;Abr/2019;6240
355030 SAO PAULO;Abr/2020;298
355030 SAO PAULO;Abr/2021;3258
355030 SAO PAULO;Abr/2022;4358
355030 SAO PAULO;Abr/2023;3948
355030 SAO PAULO;Abr/2024;21708
355030 SAO PAULO;Ago/2014;200
355030 SAO PAULO;Ago/2015;153
355030 SAO PAULO;Ago/2016;90
355030 SAO PAULO;Ago/2017;43
355030 SAO PAULO;Ago/2018;38
355030 SAO PAULO;Ago/2019;164
355030 SAO PAULO;Ago/2020;20
355030 SAO PAULO;Ago/2021;75
355030 SAO PAULO;Ago/2022;133
355030 SAO PAULO;Ago/2023;324
355030 SAO PAULO;Ago/2024;0
355030 SAO PAULO;Dez/2014;137
355030 SAO PAULO;Dez/2015;674
355030 SAO PAULO;Dez/2016;309
355030 SAO PAULO;Dez/2017;126
355030 SAO PAULO;Dez/2018;80
355030 SAO PAULO;Dez/2019;132
355030 SAO PAULO;Dez/2020;81
355030 SAO PAULO;Dez/2021;109
355030 SAO PAULO;Dez/2022;175
355030 SAO PAULO;Dez/2023;866
355030 SAO PAULO;Dez/2024;105
355030 SAO PAULO;Fev/2014;885
355030 SAO PAULO;Fev/2015;7224
355030 SAO PAULO;Fev/2016;3526
355030 SAO PAULO;Fev/2017;23
355030 SAO PAULO;Fev/2018;124
355030 SAO PAULO;Fev/2019;691
355030 SAO PAULO;Fev/2020;545
355030 SAO PAULO;Fev/2021;367
355030 SAO PAULO;Fev/2022;291
355030 SAO PAULO;Fev/2023;802
355030 SAO PAULO;Fev/2024;41073
355030 SAO PAULO;Ign/Em Branco/2014;0
355030 SAO PAULO;Ign/Em Branco/2015;-
355030 SAO PAULO;Ign/Em Branco/2016;-
355030 SAO PAULO;Ign/Em Branco/2017;0
355030 SAO PAULO;Ign/Em Branco/2018;0
355030 SAO PAULO;Ign/Em Branco/2019;0
355030 SAO PAULO;Ign/Em Branco/2020;0
355030 SAO PAULO;Ign/Em Branco/2021;-
355030 SAO PAULO;Ign/Em Branco/2022;-
355030 SAO PAULO;Ign/Em Branco/2023;0
355030 SAO PAULO;Ign/Em Branco/2024;0
355030 SAO PAULO;Jan/2014;244
355030 SAO PAULO;Jan/2015;1298
355030 SAO PAULO;Jan/2016;1544
355030 SAO PAULO;Jan/2017;37
355030 SAO PAULO;Jan/2018;158
355030 SAO PAULO;Jan/2019;291
355030 SAO PAULO;Jan/2020;380
355030 SAO PAULO;Jan/2021;113
355030 SAO PAULO;Jan/2022;229
355030 SAO PAULO;Jan/2023;553
355030 SAO PAULO;Jan/2024;8672
355030 SAO PAULO;Jul/2014;538
355030 SAO PAULO;Jul/2015;357
355030 SAO PAULO;Jul/2016;88
355030 SAO PAULO;Jul/2017;38
355030 SAO PAULO;Jul/2018;59
355030 SAO PAULO;Jul/2019;536
355030 SAO PAULO;Jul/2020;41
355030 SAO PAULO;Jul/2021;133
355030 SAO PAULO;Jul/2022;315
355030 SAO PAULO;Jul/2023;366
355030 SAO PAULO;Jul/2024;0
355030 SAO PAULO;Jun/2014;1773
355030 SAO PAULO;Jun/2015;768
355030 SAO PAULO;Jun/2016;216
355030 SAO PAULO;Jun/2017;44
355030 SAO PAULO;Jun/2018;51
355030 SAO PAULO;Jun/2019;1864
355030 SAO PAULO;Jun/2020;66
355030 SAO PAULO;Jun/2021;513
355030 SAO PAULO;Jun/2022;600
355030 SAO PAULO;Jun/2023;925
355030 SAO PAULO;Jun/2024;0
355030 SAO PAULO;Mai/2014;8722
355030 SAO PAULO;Mai/2015;4929
355030 SAO PAULO;Mai/2016;2210
355030 SAO PAULO;Mai/2017;73
355030 SAO PAULO;Mai/2018;93
355030 SAO PAULO;Mai/2019;6379
355030 SAO PAULO;Mai/2020;148
355030 SAO PAULO;Mai/2021;1713
355030 SAO PAULO;Mai/2022;4065
355030 SAO PAULO;Mai/2023;3047
355030 SAO PAULO;Mai/2024;0
355030 SAO PAULO;Mar/2014;5240
355030 SAO PAULO;Mar/2015;26669
355030 SAO PAULO;Mar/2016;4942
355030 SAO PAULO;Mar/2017;9
355030 SAO PAULO;Mar/2018;118
355030 SAO PAULO;Mar/2019;2491
355030 SAO PAULO;Mar/2020;476
355030 SAO PAULO;Mar/2021;1130
355030 SAO PAULO;Mar/2022;1386
355030 SAO PAULO;Mar/2023;2318
355030 SAO PAULO;Mar/2024;117477
355030 SAO PAULO;Nov/2014;158
355030 SAO PAULO;Nov/2015;255
355030 SAO PAULO;Nov/2016;168
355030 SAO PAULO;Nov/2017;109
355030 SAO PAULO;Nov/2018;82
355030 SAO PAULO;Nov/2019;96
355030 SAO PAULO;Nov/2020;31
355030 SAO PAULO;Nov/2021;61
355030 SAO PAULO;Nov/2022;140
355030 SAO PAULO;Nov/2023;478
355030 SAO PAULO;Nov/2024;0
355030 SAO PAULO;Out/2014;131
355030 SAO PAULO;Out/2015;141
355030 SAO PAULO;Out/2016;144
355030 SAO PAULO;Out/2017;77
355030 SAO PAULO;Out/2018;54
355030 SAO PAULO;Out/2019;112
355030 SAO PAULO;Out/2020;31
355030 SAO PAULO;Out/2021;60
355030 SAO PAULO;Out/2022;192
355030 SAO PAULO;Out/2023;374
355030 SAO PAULO;Out/2024;0
355030 SAO PAULO;Set/2014;169
355030 SAO PAULO;Set/2015;101
355030 SAO PAULO;Set/2016;95
355030 SAO PAULO;Set/2017;44
355030 SAO PAULO;Set/2018;43
355030 SAO PAULO;Set/2019;129
355030 SAO PAULO;Set/2020;29
355030 SAO PAULO;Set/2021;69
355030 SAO PAULO;Set/2022;110
355030 SAO PAULO;Set/2023;339
355030 SAO PAULO;Set/2024;0
355030 SAO PAULO;Total/2014;34092.0
355030 SAO PAULO;Total/2015;55860.0
355030 SAO PAULO;Total/2016;18438.0
355030 SAO PAULO;Total/2017;726.0
355030 SAO PAULO;Total/2018;1005.0
355030 SAO PAULO;Total/2019;19125.0
355030 SAO PAULO;Total/2020;2146.0
355030 SAO PAULO;Total/2021;7601.0
355030 SAO PAULO;Total/2022;11994.0
355030 SAO PAULO;Total/2023;14340.0
355030 SAO PAULO;Total/2024;189035.0
